timestamp,GHI_Wm2,DNI_Wm2,DHI_Wm2,T2m_C,WS10m_ms,time_str,T_module_C,derating_factor,WS50m_ms,WS50m_ERA5_ms
2020-01-01 00:00:00,0.0,-0.0,0.0,27.73,4.69,20150101:0000,52.730000000000004,0.88908,5.689174348799637,5.689174348799637
2020-01-01 01:00:00,0.0,-0.0,0.0,27.66,4.67,20150101:0100,52.66,0.88936,5.664913477376184,5.664913477376184
2020-01-01 02:00:00,0.0,-0.0,0.0,27.59,4.64,20150101:0200,52.59,0.88964,5.628522170241005,5.628522170241005
2020-01-01 03:00:00,0.0,-0.0,0.0,27.51,4.62,20150101:0300,52.510000000000005,0.88996,5.604261298817552,5.604261298817552
2020-01-01 04:00:00,0.0,-0.0,0.0,27.44,4.59,20150101:0400,52.44,0.89024,5.5678699916823735,5.5678699916823735
2020-01-01 05:00:00,0.0,-0.0,0.0,27.37,4.57,20150101:0500,52.370000000000005,0.89052,5.543609120258921,5.543609120258921
2020-01-01 06:00:00,0.0,-0.0,0.0,27.29,4.55,20150101:0600,52.29,0.89084,5.519348248835468,5.519348248835468
2020-01-01 07:00:00,110.2,180.96,75.05,27.22,4.52,20150101:0700,52.22,0.89112,5.482956941700289,5.482956941700289
2020-01-01 08:00:00,327.45,443.13,143.35,27.21,3.45,20150101:0800,52.21,0.89116,4.1850003205455755,4.1850003205455755
2020-01-01 09:00:00,551.55,525.78,233.1,27.31,3.31,20150101:0900,52.31,0.89076,4.0151742205814065,4.0151742205814065
2020-01-01 10:00:00,783.25,817.5,168.55,27.15,2.97,20150101:1000,52.15,0.8914,3.6027394063827125,3.6027394063827125
2020-01-01 11:00:00,852.4,808.46,169.85,27.39,2.55,20150101:1100,52.39,0.89044,3.0932611064902074,3.0932611064902074
2020-01-01 12:00:00,867.75,807.7,159.9,27.5,2.0,20150101:1200,52.5,0.89,2.426087142345261,2.426087142345261
2020-01-01 13:00:00,771.3,725.46,157.5,27.39,2.34,20150101:1300,52.39,0.89044,2.838521956543955,2.838521956543955
2020-01-01 14:00:00,598.6,575.95,163.5,27.19,3.31,20150101:1400,52.19,0.89124,4.0151742205814065,4.0151742205814065
2020-01-01 15:00:00,395.75,439.86,127.15,27.33,4.34,20150101:1500,52.33,0.89068,5.264609098889216,5.264609098889216
2020-01-01 16:00:00,217.1,307.91,87.3,27.5,4.76,20150101:1600,52.5,0.89,5.77408739878172,5.77408739878172
2020-01-01 17:00:00,45.55,104.96,24.45,27.49,4.9,20150101:1700,52.489999999999995,0.89004,5.943913498745889,5.943913498745889
2020-01-01 18:00:00,0.0,-0.0,0.0,27.47,4.9,20150101:1800,52.47,0.89012,5.943913498745889,5.943913498745889
2020-01-01 19:00:00,0.0,-0.0,0.0,27.46,4.9,20150101:1900,52.46,0.89016,5.943913498745889,5.943913498745889
2020-01-01 20:00:00,0.0,-0.0,0.0,27.54,4.69,20150101:2000,52.54,0.88984,5.689174348799637,5.689174348799637
2020-01-01 21:00:00,0.0,-0.0,0.0,27.56,4.62,20150101:2100,52.56,0.88976,5.604261298817552,5.604261298817552
2020-01-01 22:00:00,0.0,-0.0,0.0,27.62,4.0,20150101:2200,52.620000000000005,0.88952,4.852174284690522,4.852174284690522
2020-01-01 23:00:00,0.0,-0.0,0.0,27.62,4.14,20150101:2300,52.620000000000005,0.88952,5.02200038465469,5.02200038465469
2020-01-02 00:00:00,0.0,-0.0,0.0,27.56,4.28,20150102:0000,52.56,0.88976,5.191826484618859,5.191826484618859
2020-01-02 01:00:00,0.0,-0.0,0.0,27.44,4.62,20150102:0100,52.44,0.89024,5.604261298817552,5.604261298817552
2020-01-02 02:00:00,0.0,-0.0,0.0,27.28,4.62,20150102:0200,52.28,0.89088,5.604261298817552,5.604261298817552
2020-01-02 03:00:00,0.0,-0.0,0.0,27.19,4.62,20150102:0300,52.19,0.89124,5.604261298817552,5.604261298817552
2020-01-02 04:00:00,0.0,-0.0,0.0,27.15,4.34,20150102:0400,52.15,0.8914,5.264609098889216,5.264609098889216
2020-01-02 05:00:00,0.0,-0.0,0.0,27.13,3.66,20150102:0500,52.129999999999995,0.89148,4.439739470491827,4.439739470491827
2020-01-02 06:00:00,0.0,-0.0,0.0,27.12,3.03,20150102:0600,52.120000000000005,0.89152,3.67552202065307,3.67552202065307
2020-01-02 07:00:00,226.75,734.96,85.05,27.16,2.62,20150102:0700,52.16,0.89136,3.178174156472292,3.178174156472292
2020-01-02 08:00:00,455.15,829.17,111.6,27.23,2.41,20150102:0800,52.230000000000004,0.89108,2.9234350065260393,2.9234350065260393
2020-01-02 09:00:00,651.8,860.24,131.4,27.31,2.48,20150102:0900,52.31,0.89076,3.0083480565081233,3.0083480565081233
2020-01-02 10:00:00,795.2,866.14,144.15,26.99,2.76,20150102:1000,51.989999999999995,0.89204,3.3480002564364595,3.3480002564364595
2020-01-02 11:00:00,868.3,848.56,151.7,27.12,3.03,20150102:1100,52.120000000000005,0.89152,3.67552202065307,3.67552202065307
2020-01-02 12:00:00,867.4,814.74,152.8,27.14,3.24,20150102:1200,52.14,0.89144,3.930261170599323,3.930261170599323
2020-01-02 13:00:00,791.7,758.94,148.7,27.14,3.86,20150102:1300,52.14,0.89144,4.6823481847263535,4.6823481847263535
2020-01-02 14:00:00,650.3,682.45,133.7,27.19,4.55,20150102:1400,52.19,0.89124,5.519348248835468,5.519348248835468
