timestamp,cf_wind,WS_hub_ms
2020-01-01 00:00:00,0.001,1.875
2020-01-01 01:00:00,0.001,2.012
2020-01-01 02:00:00,0.002,2.184
2020-01-01 03:00:00,0.002,2.238
2020-01-01 04:00:00,0.002,2.187
2020-01-01 05:00:00,0.002,2.131
2020-01-01 06:00:00,0.002,2.168
2020-01-01 07:00:00,0.002,2.163
2020-01-01 08:00:00,0.014,3.042
2020-01-01 09:00:00,0.029,3.582
2020-01-01 10:00:00,0.021,3.306
2020-01-01 11:00:00,0.011,2.921
2020-01-01 12:00:00,0.005,2.49
2020-01-01 13:00:00,0.003,2.304
2020-01-01 14:00:00,0.008,2.746
2020-01-01 15:00:00,0.023,3.382
2020-01-01 16:00:00,0.05,4.112
2020-01-01 17:00:00,0.093,4.93
2020-01-01 18:00:00,0.128,5.445
2020-01-01 19:00:00,0.122,5.369
2020-01-01 20:00:00,0.099,5.022
2020-01-01 21:00:00,0.086,4.81
2020-01-01 22:00:00,0.079,4.693
2020-01-01 23:00:00,0.073,4.576
2020-01-02 00:00:00,0.063,4.389
2020-01-02 01:00:00,0.05,4.112
2020-01-02 02:00:00,0.037,3.802
2020-01-02 03:00:00,0.023,3.374
2020-01-02 04:00:00,0.012,2.928
2020-01-02 05:00:00,0.006,2.549
2020-01-02 06:00:00,0.004,2.413
2020-01-02 07:00:00,0.003,2.286
2020-01-02 08:00:00,0.001,1.993
2020-01-02 09:00:00,0.001,1.813
2020-01-02 10:00:00,0.0,1.77
2020-01-02 11:00:00,0.0,1.701
2020-01-02 12:00:00,0.0,1.461
2020-01-02 13:00:00,0.0,1.18
2020-01-02 14:00:00,0.001,1.982
2020-01-02 15:00:00,0.007,2.665
2020-01-02 16:00:00,0.023,3.403
2020-01-02 17:00:00,0.052,4.153
2020-01-02 18:00:00,0.068,4.491
2020-01-02 19:00:00,0.061,4.358
2020-01-02 20:00:00,0.045,3.995
2020-01-02 21:00:00,0.032,3.674
2020-01-02 22:00:00,0.028,3.561
2020-01-02 23:00:00,0.031,3.628
2020-01-03 00:00:00,0.032,3.676
2020-01-03 01:00:00,0.028,3.563
2020-01-03 02:00:00,0.019,3.232
2020-01-03 03:00:00,0.009,2.79
2020-01-03 04:00:00,0.004,2.431
2020-01-03 05:00:00,0.002,2.165
2020-01-03 06:00:00,0.002,2.164
2020-01-03 07:00:00,0.006,2.578
2020-01-03 08:00:00,0.017,3.173
2020-01-03 09:00:00,0.014,3.041
2020-01-03 10:00:00,0.005,2.469
2020-01-03 11:00:00,0.001,1.9
