timestamp,WS10m_ERA5_ms,WS50m_ERA5_ms,WS50m_MERRA2_ms,cf_wind_MERRA2
2020-01-01 00:00:00,4.69,5.689174348799637,1.875,0.001
2020-01-01 01:00:00,4.67,5.664913477376184,2.012,0.001
2020-01-01 02:00:00,4.64,5.628522170241005,2.184,0.002
2020-01-01 03:00:00,4.62,5.604261298817552,2.238,0.002
2020-01-01 04:00:00,4.59,5.5678699916823735,2.187,0.002
2020-01-01 05:00:00,4.57,5.543609120258921,2.131,0.002
2020-01-01 06:00:00,4.55,5.519348248835468,2.168,0.002
2020-01-01 07:00:00,4.52,5.482956941700289,2.163,0.002
2020-01-01 08:00:00,3.45,4.1850003205455755,3.042,0.014
2020-01-01 09:00:00,3.31,4.0151742205814065,3.582,0.029
2020-01-01 10:00:00,2.97,3.6027394063827125,3.306,0.021
2020-01-01 11:00:00,2.55,3.0932611064902074,2.921,0.011
2020-01-01 12:00:00,2.0,2.426087142345261,2.49,0.005
2020-01-01 13:00:00,2.34,2.838521956543955,2.304,0.003
2020-01-01 14:00:00,3.31,4.0151742205814065,2.746,0.008
2020-01-01 15:00:00,4.34,5.264609098889216,3.382,0.023
2020-01-01 16:00:00,4.76,5.77408739878172,4.112,0.05
2020-01-01 17:00:00,4.9,5.943913498745889,4.93,0.093
2020-01-01 18:00:00,4.9,5.943913498745889,5.445,0.128
2020-01-01 19:00:00,4.9,5.943913498745889,5.369,0.122
2020-01-01 20:00:00,4.69,5.689174348799637,5.022,0.099
2020-01-01 21:00:00,4.62,5.604261298817552,4.81,0.086
2020-01-01 22:00:00,4.0,4.852174284690522,4.693,0.079
2020-01-01 23:00:00,4.14,5.02200038465469,4.576,0.073
2020-01-02 00:00:00,4.28,5.191826484618859,4.389,0.063
2020-01-02 01:00:00,4.62,5.604261298817552,4.112,0.05
2020-01-02 02:00:00,4.62,5.604261298817552,3.802,0.037
2020-01-02 03:00:00,4.62,5.604261298817552,3.374,0.023
2020-01-02 04:00:00,4.34,5.264609098889216,2.928,0.012
2020-01-02 05:00:00,3.66,4.439739470491827,2.549,0.006
2020-01-02 06:00:00,3.03,3.67552202065307,2.413,0.004
2020-01-02 07:00:00,2.62,3.178174156472292,2.286,0.003
2020-01-02 08:00:00,2.41,2.9234350065260393,1.993,0.001
2020-01-02 09:00:00,2.48,3.0083480565081233,1.813,0.001
2020-01-02 10:00:00,2.76,3.3480002564364595,1.77,0.0
2020-01-02 11:00:00,3.03,3.67552202065307,1.701,0.0
2020-01-02 12:00:00,3.24,3.930261170599323,1.461,0.0
2020-01-02 13:00:00,3.86,4.6823481847263535,1.18,0.0
2020-01-02 14:00:00,4.55,5.519348248835468,1.982,0.001
2020-01-02 15:00:00,5.03,6.101609162998331,2.665,0.007
2020-01-02 16:00:00,4.97,6.028826548727973,3.403,0.023
2020-01-02 17:00:00,4.9,5.943913498745889,4.153,0.052
2020-01-02 18:00:00,4.76,5.77408739878172,4.491,0.068
2020-01-02 19:00:00,4.69,5.689174348799637,4.358,0.061
2020-01-02 20:00:00,4.62,5.604261298817552,3.995,0.045
2020-01-02 21:00:00,4.55,5.519348248835468,3.674,0.032
2020-01-02 22:00:00,4.14,5.02200038465469,3.561,0.028
2020-01-02 23:00:00,4.0,4.852174284690522,3.628,0.031
2020-01-03 00:00:00,3.59,4.354826420509743,3.676,0.032
2020-01-03 01:00:00,3.31,4.0151742205814065,3.563,0.028
2020-01-03 02:00:00,3.24,3.930261170599323,3.232,0.019
2020-01-03 03:00:00,3.45,4.1850003205455755,2.79,0.009
2020-01-03 04:00:00,3.45,4.1850003205455755,2.431,0.004
2020-01-03 05:00:00,3.1,3.7604350706351544,2.165,0.002
2020-01-03 06:00:00,2.55,3.0932611064902074,2.164,0.002
2020-01-03 07:00:00,2.07,2.511000192327345,2.578,0.006
2020-01-03 08:00:00,1.72,2.086434942416924,3.173,0.017
2020-01-03 09:00:00,1.52,1.8438262281823983,3.041,0.014
2020-01-03 10:00:00,0.83,1.0068261640732832,2.469,0.005
2020-01-03 11:00:00,0.97,1.1766522640374515,1.9,0.001
2020-01-03 12:00:00,1.59,1.9287392781644823,1.145,0.0
2020-01-03 13:00:00,2.14,2.5959132423094293,1.241,0.0
2020-01-03 14:00:00,2.69,3.263087206454376,2.047,0.001
2020-01-03 15:00:00,3.17,3.8453481206172384,2.564,0.006
2020-01-03 16:00:00,3.38,4.100087270563491,3.22,0.019
2020-01-03 17:00:00,3.72,4.512522084762185,3.994,0.045
2020-01-03 18:00:00,4.07,4.937087334672606,4.606,0.074
2020-01-03 19:00:00,4.48,5.434435198853385,4.914,0.092
