# Renewables.ninja Wind power (Point API) - 5.783, 0.633 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Africa/Abidjan, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Africa/Abidjan", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": "true", "header": "true", "lat": "5.7833", "lon": "0.6333", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "height": "10", "turbine": "Vestas V80 2000", "raw": "true"}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2019-01-01 00:00,0,1.603
2019-01-01 01:00,2019-01-01 01:00,0,1.676
2019-01-01 02:00,2019-01-01 02:00,0,1.745
2019-01-01 03:00,2019-01-01 03:00,0,1.731
2019-01-01 04:00,2019-01-01 04:00,0,1.651
2019-01-01 05:00,2019-01-01 05:00,0,1.581
2019-01-01 06:00,2019-01-01 06:00,0,1.694
2019-01-01 07:00,2019-01-01 07:00,0.001,1.858
2019-01-01 08:00,2019-01-01 08:00,0.006,2.574
2019-01-01 09:00,2019-01-01 09:00,0.015,3.099
2019-01-01 10:00,2019-01-01 10:00,0.010,2.860
2019-01-01 11:00,2019-01-01 11:00,0.005,2.474
2019-01-01 12:00,2019-01-01 12:00,0.001,2.003
2019-01-01 13:00,2019-01-01 13:00,0.001,1.826
2019-01-01 14:00,2019-01-01 14:00,0.002,2.236
2019-01-01 15:00,2019-01-01 15:00,0.009,2.760
2019-01-01 16:00,2019-01-01 16:00,0.022,3.364
2019-01-01 17:00,2019-01-01 17:00,0.039,3.850
2019-01-01 18:00,2019-01-01 18:00,0.053,4.176
2019-01-01 19:00,2019-01-01 19:00,0.051,4.127
2019-01-01 20:00,2019-01-01 20:00,0.040,3.865
2019-01-01 21:00,2019-01-01 21:00,0.033,3.694
2019-01-01 22:00,2019-01-01 22:00,0.030,3.595
2019-01-01 23:00,2019-01-01 23:00,0.027,3.497
2019-01-02 00:00,2019-01-02 00:00,0.022,3.350
2019-01-02 01:00,2019-01-02 01:00,0.016,3.141
2019-01-02 02:00,2019-01-02 02:00,0.011,2.918
2019-01-02 03:00,2019-01-02 03:00,0.006,2.624
2019-01-02 04:00,2019-01-02 04:00,0.003,2.325
2019-01-02 05:00,2019-01-02 05:00,0.001,2.057
2019-01-02 06:00,2019-01-02 06:00,0.001,1.930
2019-01-02 07:00,2019-01-02 07:00,0.001,2.014
2019-01-02 08:00,2019-01-02 08:00,0.001,1.814
2019-01-02 09:00,2019-01-02 09:00,0,1.644
2019-01-02 10:00,2019-01-02 10:00,0,1.562
2019-01-02 11:00,2019-01-02 11:00,0,1.461
2019-01-02 12:00,2019-01-02 12:00,0,1.233
2019-01-02 13:00,2019-01-02 13:00,0,0.978
2019-01-02 14:00,2019-01-02 14:00,0,1.672
2019-01-02 15:00,2019-01-02 15:00,0.002,2.216
2019-01-02 16:00,2019-01-02 16:00,0.009,2.806
2019-01-02 17:00,2019-01-02 17:00,0.023,3.373
2019-01-02 18:00,2019-01-02 18:00,0.031,3.632
2019-01-02 19:00,2019-01-02 19:00,0.027,3.521
2019-01-02 20:00,2019-01-02 20:00,0.019,3.245
2019-01-02 21:00,2019-01-02 21:00,0.013,3.007
2019-01-02 22:00,2019-01-02 22:00,0.011,2.909
2019-01-02 23:00,2019-01-02 23:00,0.012,2.931
2019-01-03 00:00,2019-01-03 00:00,0.012,2.939
2019-01-03 01:00,2019-01-03 01:00,0.010,2.846
2019-01-03 02:00,2019-01-03 02:00,0.006,2.616
2019-01-03 03:00,2019-01-03 03:00,0.003,2.300
2019-01-03 04:00,2019-01-03 04:00,0.001,2.032
2019-01-03 05:00,2019-01-03 05:00,0.001,1.844
2019-01-03 06:00,2019-01-03 06:00,0.001,1.833
2019-01-03 07:00,2019-01-03 07:00,0.002,2.214
